# nAgeSeries
3
# age index  fishery cpue acou
1 2 3 
# index min ages
2 4 4
# index max ages
11 10 8
# ageFirstYear
1 13 17 
# ageLastYear
42 42 42
## fishery proportions at age (2,11,1,40)
# paaCatch
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1811	0.2999	0.2004	0.5483	0.2640	0.1345	0.5583	0.0642	0.2486	0.1939	0.2288	0.2590	0.4486	0.2589	0.4148	0.1792	0.5269	0.1774	0.3590	0.3337	0.1713	0.1968	0.1412	0.1626	0.1142	0.0482	0.1408	0.1135	0.2848	0.1968
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.0960	0.1939	0.1316	0.2496	0.5201	0.2217	0.1059	0.5966	0.0357	0.2122	0.2184	0.1952	0.1864	0.3001	0.1483	0.3230	0.1870	0.2638	0.1314	0.4140	0.3105	0.1806	0.2151	0.1954	0.1945	0.2413	0.2316	0.3007	0.2229	0.4363
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1116	0.0671	0.0601	0.0665	0.0969	0.3608	0.1643	0.1098	0.4704	0.0465	0.1084	0.0974	0.0882	0.0918	0.2335	0.1430	0.0598	0.1973	0.1454	0.0469	0.1526	0.2451	0.2372	0.2521	0.2183	0.3682	0.3586	0.2458	0.3168	0.1358
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1731	0.0614	0.0277	0.0327	0.0385	0.0799	0.1093	0.0654	0.0539	0.3306	0.0638	0.0665	0.0507	0.0581	0.0885	0.1130	0.0323	0.0912	0.0310	0.0476	0.0729	0.1139	0.1201	0.1928	0.2717	0.1649	0.1678	0.1836	0.1177	0.1066
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.0805	0.0943	0.0340	0.0187	0.0131	0.0223	0.0360	0.0621	0.0386	0.0532	0.1672	0.0275	0.0281	0.0233	0.0320	0.0316	0.0438	0.0222	0.0061	0.0124	0.0714	0.1739	0.0794	0.1375	0.1411	0.1221	0.0734	0.0420	0.0371	0.0348
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.0323	0.0348	0.0247	0.0096	0.0047	0.0144	0.0068	0.0160	0.0310	0.0277	0.0417	0.1305	0.0257	0.0160	0.0113	0.0070	0.0032	0.0169	0.0027	0.0008	0.0008	0.0639	0.0657	0.0084	0.0558	0.0235	0.0221	0.0075	0.0012	0.0045
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1


## acoustic proportions at age (4,8,17,40).
# paaComACOU
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2872	0.5136	0.0530	0.4080	0.3141	0.5399	0.4592	0.3745	0.2719	0.5330	0.3748	0.8511	0.4450	0.2566	0.2717	0.5487	0.7205	0.3210	0.5832	0.3418	0.3843	0.2903	0.4151	0.5761	0.2591	0.2894
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.3147	0.1442	0.5987	0.0580	0.1935	0.1909	0.1760	0.2648	0.3834	0.2407	0.4392	0.0417	0.4760	0.3976	0.3298	0.2666	0.0861	0.3508	0.1941	0.3477	0.2140	0.2502	0.2612	0.1217	0.4627	0.2261
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2992	0.1676	0.1558	0.4386	0.0551	0.0604	0.1544	0.1469	0.1169	0.1604	0.0223	0.0814	0.0526	0.2615	0.2060	0.0828	0.0830	0.2367	0.1497	0.2158	0.1832	0.0858	0.1992	0.1000	0.0932	0.2841
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.0805	0.1405	0.0935	0.0285	0.3742	0.0353	0.0297	0.0852	0.1716	0.0486	0.1203	0.0186	0.0160	0.0376	0.1105	0.0416	0.0865	0.0892	0.0487	0.0716	0.1995	0.2190	0.0829	0.1909	0.1133	0.1505
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.0183	0.0341	0.0990	0.0669	0.0631	0.1734	0.1807	0.1286	0.0563	0.0174	0.0435	0.0073	0.0103	0.0467	0.0820	0.0602	0.0239	0.0023	0.0243	0.0231	0.0190	0.1547	0.0416	0.0113	0.0717	0.0499
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1

# Beginning-of-year weight-at-age (2,plusGroupAge,1,nT)
0.1130	0.1770	0.1493	0.1459	0.1257	0.1328	0.0948	0.1197	0.1254	0.1505	0.0872	0.1221	0.1747	0.1419	0.1034	0.0929	0.1418	0.0833	0.1005	0.1162	0.0956	0.1058	0.1245	0.1058	0.0913	0.0837	0.0970	0.1114	0.0967	0.1075	0.1234	0.1100	0.1035	0.0660	0.0674	0.0885	0.0916	0.0962	0.0904	0.1042	0.0973	0.1008
0.1420	0.1509	0.1696	0.1693	0.1681	0.1495	0.1629	0.1530	0.1633	0.1656	0.1606	0.1441	0.1640	0.1696	0.1448	0.1323	0.1283	0.1473	0.1328	0.1331	0.1322	0.1249	0.1325	0.1383	0.1308	0.1223	0.1169	0.1267	0.1292	0.1259	0.1287	0.1341	0.1233	0.1152	0.1045	0.1026	0.1137	0.1075	0.1136	0.1189	0.1175	0.1172
0.2129	0.1826	0.1843	0.1985	0.1955	0.1942	0.1825	0.1927	0.2096	0.2020	0.1986	0.1892	0.2038	0.1895	0.1721	0.1587	0.1571	0.1611	0.1690	0.1706	0.1581	0.1527	0.1534	0.1576	0.1557	0.1533	0.1462	0.1470	0.1492	0.1517	0.1531	0.1507	0.1470	0.1287	0.1330	0.1381	0.1353	0.1331	0.1275	0.1300	0.1331	0.1328
0.2315	0.2351	0.2252	0.2279	0.2489	0.2272	0.2188	0.2222	0.2303	0.2367	0.2320	0.2230	0.2373	0.2240	0.1993	0.1822	0.1765	0.1757	0.1773	0.1896	0.1805	0.1758	0.1758	0.1753	0.1777	0.1751	0.1699	0.1619	0.1639	0.1642	0.1696	0.1651	0.1610	0.1630	0.1411	0.1525	0.1556	0.1486	0.1426	0.1448	0.1487	0.1380
0.2564	0.2480	0.2609	0.2967	0.2881	0.2597	0.2656	0.2512	0.2616	0.2694	0.2715	0.2675	0.2612	0.2545	0.2324	0.2104	0.1953	0.1937	0.1954	0.1952	0.1971	0.1993	0.1992	0.1946	0.1954	0.1956	0.1939	0.1897	0.1853	0.1813	0.1825	0.1745	0.1792	0.1676	0.1672	0.1628	0.1670	0.1691	0.1583	0.1611	0.1618	0.1637
0.2895	0.2874	0.2606	0.3056	0.3751	0.3205	0.2964	0.3059	0.2985	0.2941	0.2995	0.3093	0.2972	0.2774	0.2548	0.2437	0.2185	0.2152	0.2106	0.2117	0.2153	0.2208	0.2193	0.2192	0.2160	0.2144	0.2157	0.2120	0.2123	0.1957	0.2006	0.1881	0.1900	0.1956	0.1769	0.1752	0.1776	0.1790	0.1712	0.1703	0.1820	0.1738
0.2969	0.3007	0.2896	0.2857	0.3488	0.3086	0.3559	0.3270	0.3353	0.3244	0.3275	0.3249	0.3213	0.3066	0.2775	0.2622	0.2501	0.2389	0.2339	0.2302	0.2310	0.2310	0.2450	0.2350	0.2407	0.2314	0.2312	0.2405	0.2347	0.2178	0.2155	0.2104	0.2059	0.2112	0.1932	0.1858	0.1938	0.1872	0.1831	0.1785	0.1812	0.1871
0.3325	0.3253	0.2998	0.3068	0.3343	0.3840	0.3006	0.3556	0.3152	0.3320	0.3565	0.3490	0.3337	0.3162	0.3019	0.2798	0.2809	0.2683	0.2461	0.2517	0.2489	0.2521	0.2475	0.2593	0.2564	0.2530	0.2434	0.2460	0.2510	0.2530	0.2227	0.2464	0.2222	0.2260	0.2043	0.1957	0.2004	0.2100	0.1914	0.1840	0.1864	0.1925
0.3664	0.3369	0.3530	0.3173	0.3771	0.3614	0.3892	0.4004	0.3463	0.3127	0.3417	0.3712	0.3562	0.3321	0.3103	0.3025	0.2794	0.3018	0.2840	0.2482	0.2632	0.2602	0.2620	0.2588	0.2725	0.2661	0.2575	0.2617	0.2721	0.2477	0.2781	0.2169	0.2503	0.2177	0.2234	0.2047	0.2126	0.2073	0.2162	0.1963	0.1987	0.1991
0.3698	0.3646	0.3533	0.3916	0.3928	0.3886	0.3845	0.3761	0.4115	0.3896	0.3659	0.3590	0.3520	0.3645	0.3342	0.3131	0.3111	0.3010	0.2957	0.3018	0.2801	0.2743	0.2733	0.2681	0.2763	0.2804	0.2750	0.2840	0.2553	0.2511	0.2557	0.2520	0.2321	0.2221	0.2126	0.2327	0.2161	0.2331	0.2048	0.2118	0.2109	0.2133

# Commercial fishery waa (2,plusGroupAge,1,nT)
0.1306	0.1733	0.1590	0.1566	0.1371	0.1471	0.1204	0.1398	0.1441	0.1554	0.1121	0.1415	0.1721	0.1433	0.1169	0.1092	0.1445	0.1052	0.1157	0.1239	0.1093	0.1184	0.1312	0.1176	0.1057	0.0989	0.1108	0.1200	0.1103	0.1176	0.1286	0.1165	0.1092	0.0831	0.0832	0.1003	0.0992	0.1046	0.1036	0.1087	0.1056	0.1060
0.1610	0.1744	0.1661	0.1803	0.1804	0.1630	0.1803	0.1945	0.1908	0.1902	0.1659	0.1851	0.1901	0.1671	0.1463	0.1496	0.1508	0.1502	0.1677	0.1532	0.1409	0.1427	0.1482	0.1458	0.1454	0.1416	0.1381	0.1448	0.1391	0.1437	0.1409	0.1398	0.1305	0.1215	0.1314	0.1266	0.1288	0.1164	0.1234	0.1364	0.1270	0.1301
0.2237	0.2070	0.1947	0.2373	0.2121	0.2089	0.2044	0.2058	0.2260	0.2139	0.2074	0.2157	0.2243	0.1889	0.1773	0.1721	0.1650	0.1721	0.1902	0.1735	0.1631	0.1656	0.1649	0.1676	0.1662	0.1616	0.1511	0.1565	0.1537	0.1655	0.1631	0.1611	0.1547	0.1270	0.1457	0.1452	0.1445	0.1376	0.1396	0.1369	0.1300	0.1388
0.2396	0.2471	0.2449	0.2668	0.2610	0.2433	0.2293	0.2417	0.2578	0.2478	0.2517	0.2397	0.2610	0.2236	0.2103	0.1872	0.1810	0.1871	0.1826	0.1889	0.1878	0.1895	0.1867	0.1864	0.1884	0.1844	0.1786	0.1734	0.1716	0.1754	0.1738	0.1671	0.1608	0.1717	0.1569	0.1596	0.1667	0.1528	0.1478	0.1501	0.1614	0.1466
0.2714	0.2567	0.2755	0.3596	0.3112	0.2585	0.2898	0.2753	0.2831	0.2814	0.2974	0.2843	0.2847	0.2483	0.2416	0.2105	0.2039	0.2074	0.2041	0.2087	0.2056	0.2116	0.2094	0.2028	0.2048	0.2031	0.2038	0.2015	0.1980	0.1915	0.1899	0.1752	0.1922	0.1747	0.1628	0.1690	0.1746	0.1715	0.1641	0.1757	0.1745	0.1661
0.2950	0.3043	0.2644	0.3390	0.3914	0.3301	0.3399	0.3229	0.3236	0.3056	0.3186	0.3217	0.3106	0.2703	0.2616	0.2457	0.2267	0.2271	0.2138	0.2195	0.2221	0.2371	0.2274	0.2294	0.2301	0.2244	0.2291	0.2205	0.2236	0.1935	0.2102	0.1864	0.2061	0.1991	0.1791	0.1885	0.1866	0.1835	0.1710	0.1768	0.1886	0.1731
0.3108	0.3065	0.2757	0.3086	0.3588	0.2433	0.3838	0.3146	0.3482	0.3252	0.3509	0.3312	0.3209	0.3026	0.2849	0.2627	0.2545	0.2518	0.2408	0.2479	0.2430	0.2402	0.2531	0.2429	0.2526	0.2327	0.2383	0.2524	0.2499	0.2122	0.2399	0.2106	0.2274	0.2165	0.1874	0.1928	0.1992	0.1878	0.1826	0.1864	0.1857	0.1857
0.3347	0.3406	0.2932	0.3415	0.3622	0.4110	0.3713	0.3294	0.3158	0.3166	0.3908	0.3471	0.3363	0.3116	0.3011	0.2747	0.3003	0.2829	0.2405	0.2630	0.2499	0.2617	0.2551	0.2658	0.2707	0.2534	0.2545	0.2539	0.2496	0.2563	0.2337	0.2531	0.2344	0.2245	0.1929	0.2044	0.2082	0.2214	0.1951	0.1853	0.1864	0.1995
0.3655	0.3392	0.3659	0.3433	0.4164	0.3606	0.3686	0.4317	0.3642	0.3096	0.3689	0.3526	0.3656	0.3280	0.3091	0.3038	0.2842	0.3034	0.2851	0.2562	0.2635	0.2709	0.2623	0.2627	0.2794	0.2616	0.2615	0.2692	0.2917	0.2457	0.3018	0.2013	0.2476	0.2021	0.2222	0.2172	0.2210	0.2063	0.2111	0.1975	0.2130	0.2127
0.3755	0.3637	0.3680	0.4191	0.4495	0.4122	0.4269	0.3837	0.3923	0.4168	0.4325	0.3494	0.3515	0.3635	0.3405	0.3171	0.3186	0.3188	0.2883	0.3195	0.3062	0.2857	0.2758	0.2740	0.2906	0.2814	0.2892	0.3084	0.2421	0.2161	0.2661	0.2105	0.2676	0.1992	0.2235	0.2437	0.2149	0.2458	0.2033	0.2124	0.2253	0.2137

## cpue waa (2,plusGroupAge,1,nT)
# waaCPUE 
0.1542	0.1614	0.1841	0.1556	0.1865	0.1696	0.1044	0.2127	0.1108	0.0905	0.0800	0.0938	0.1531	0.1089	0.1186	0.1347	0.1207	0.1160	0.1238	0.1331	0.1243	0.1206	0.1135	0.1195	0.0978	0.1103	0.1297	0.0754	0.1202	0.1081	0.1369	0.1184	0.1211	0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	0.1229
0.1482	0.1628	0.1669	0.1782	0.1732	0.1481	0.1740	0.1695	0.1833	0.1918	0.1601	0.1647	0.1688	0.1463	0.1446	0.1272	0.1408	0.1822	0.1571	0.1309	0.1366	0.1203	0.1315	0.1347	0.1407	0.1433	0.1343	0.1345	0.1318	0.1392	0.1437	0.1440	0.1212	0.1123	0.1543	0.1186	0.1144	0.0940	0.1241	0.1484	0.1377	0.1138
0.1866	0.1975	0.1887	0.2324	0.2070	0.2056	0.1957	0.1984	0.2104	0.1962	0.1967	0.2023	0.2028	0.1819	0.1717	0.1638	0.1561	0.1598	0.1819	0.1621	0.1612	0.1494	0.1581	0.1581	0.1648	0.1604	0.1493	0.1520	0.1465	0.1520	0.1579	0.1548	0.1484	0.1437	0.1400	0.1339	0.1304	0.1329	0.1285	0.1382	0.1433	0.1363
0.2154	0.2262	0.2314	0.2667	0.2614	0.2361	0.2166	0.2292	0.2423	0.2184	0.2373	0.2293	0.2409	0.2190	0.2011	0.1862	0.1773	0.1789	0.1727	0.1828	0.1850	0.1757	0.1838	0.1820	0.1877	0.1840	0.1779	0.1723	0.1688	0.1686	0.1641	0.1652	0.1571	0.1701	0.1425	0.1473	0.1603	0.1443	0.1466	0.1504	0.1685	0.1402
0.2513	0.2427	0.2784	0.3184	0.3111	0.2585	0.2891	0.2660	0.2606	0.2494	0.2654	0.2574	0.2730	0.2460	0.2315	0.2070	0.2002	0.2021	0.1928	0.2005	0.2058	0.2037	0.2072	0.1982	0.2046	0.2023	0.2031	0.2011	0.1960	0.1854	0.1813	0.1732	0.1887	0.1790	0.1546	0.1605	0.1698	0.1635	0.1642	0.1757	0.1785	0.1580
0.2825	0.3125	0.3040	0.3428	0.3699	0.3428	0.3399	0.3152	0.3070	0.2670	0.2903	0.2907	0.2971	0.2597	0.2553	0.2438	0.2182	0.2218	0.2090	0.2128	0.2205	0.2204	0.2251	0.2230	0.2269	0.2226	0.2285	0.2209	0.2208	0.1944	0.2027	0.2052	0.2023	0.1994	0.1691	0.1810	0.1901	0.1763	0.1701	0.1768	0.1910	0.1668
0.3180	0.3351	0.3341	0.3505	0.3853	0.3566	0.4042	0.3146	0.3477	0.2805	0.3074	0.3007	0.2901	0.2917	0.2742	0.2519	0.2489	0.2449	0.2334	0.2327	0.2403	0.2304	0.2504	0.2358	0.2511	0.2326	0.2380	0.2524	0.2456	0.2119	0.2375	0.2093	0.2247	0.2173	0.1860	0.1866	0.1967	0.1880	0.1813	0.1864	0.2004	0.1823
0.3080	0.3515	0.3588	0.3738	0.3958	0.3761	0.4901	0.3294	0.3360	0.3166	0.3350	0.3141	0.3114	0.3025	0.2908	0.2684	0.3141	0.2712	0.2305	0.2464	0.2459	0.2438	0.2534	0.2571	0.2700	0.2533	0.2539	0.2530	0.2481	0.2530	0.2403	0.2531	0.2340	0.2291	0.1895	0.2033	0.2082	0.2079	0.1950	0.1853	0.2012	0.1856
0.3373	0.3262	0.3689	0.4108	0.4159	0.3606	0.3686	0.4317	0.3642	0.3096	0.3689	0.3280	0.3219	0.3197	0.2986	0.2941	0.2722	0.3007	0.2753	0.2458	0.2573	0.2543	0.2618	0.2598	0.2794	0.2596	0.2615	0.2692	0.2926	0.2457	0.2685	0.2230	0.2476	0.2498	0.2222	0.2172	0.2255	0.1882	0.2111	0.1975	0.2130	0.2127
0.3644	0.3601	0.3787	0.4191	0.4494	0.4157	0.4281	0.4311	0.3923	0.3774	0.3595	0.3001	0.3394	0.3191	0.3317	0.2917	0.3042	0.3217	0.2769	0.3032	0.2783	0.2691	0.2728	0.2698	0.2893	0.2800	0.2878	0.3084	0.2421	0.2342	0.2975	0.2063	0.2675	0.2331	0.2204	0.2236	0.2256	0.2310	0.2033	0.2124	0.2253	0.2137

## acoustic waa (2,plusGroupAge,1,nT)
# waaAcoustic 
0.0958	0.0958	0.0958	0.0958	0.0958	0.0958	0.0958	0.0958	0.0958	0.0958	0.0958	0.0958	0.0958	0.0958	0.0958	0.0958	0.0958	0.1135	0.1017	0.1102	0.0926	0.0999	0.1212	0.1093	0.0913	0.0981	0.0926	0.1119	0.0930	0.0870	0.0974	0.0937	0.0908	0.0772	0.0899	0.0751	0.0826	0.0943	0.1085	0.1044	0.1057	0.0748
0.1575	0.1575	0.1575	0.1575	0.1575	0.1575	0.1575	0.1575	0.1575	0.1575	0.1575	0.1575	0.1575	0.1575	0.1575	0.1575	0.1575	0.1406	0.1509	0.1411	0.1310	0.1375	0.1559	0.1369	0.1584	0.1521	0.1331	0.1379	0.1380	0.1353	0.1260	0.1339	0.1224	0.1103	0.1133	0.1219	0.1232	0.1133	0.1160	0.1246	0.1223	0.1205
0.1710	0.1710	0.1710	0.1710	0.1710	0.1710	0.1710	0.1710	0.1710	0.1710	0.1710	0.1710	0.1710	0.1710	0.1710	0.1710	0.1710	0.1839	0.1834	0.1866	0.1690	0.1836	0.1794	0.1839	0.1916	0.1844	0.1591	0.1523	0.1726	0.1649	0.1463	0.1384	0.1465	0.1274	0.1244	0.1410	0.1417	0.1233	0.1332	0.1427	0.1308	0.1326
0.1981	0.1981	0.1981	0.1981	0.1981	0.1981	0.1981	0.1981	0.1981	0.1981	0.1981	0.1981	0.1981	0.1981	0.1981	0.1981	0.1981	0.2048	0.2192	0.2108	0.2052	0.2046	0.2185	0.2101	0.2334	0.2154	0.2092	0.1450	0.1725	0.1434	0.1672	0.1841	0.1697	0.1544	0.1445	0.1618	0.1785	0.1242	0.1379	0.1617	0.1549	0.1504
0.2145	0.2145	0.2145	0.2145	0.2145	0.2145	0.2145	0.2145	0.2145	0.2145	0.2145	0.2145	0.2145	0.2145	0.2145	0.2145	0.2145	0.2228	0.2266	0.2399	0.2265	0.2601	0.2380	0.2423	0.2414	0.2362	0.2312	0.2041	0.2174	0.1663	0.1542	0.1870	0.2059	0.1809	0.1701	0.1810	0.1730	0.1476	0.1696	0.1658	0.1597	0.1668
0.2156	0.2156	0.2156	0.2156	0.2156	0.2156	0.2156	0.2156	0.2156	0.2156	0.2156	0.2156	0.2156	0.2156	0.2156	0.2156	0.2156	0.2408	0.2581	0.2577	0.2454	0.2747	0.2658	0.2426	0.2555	0.2478	0.2486	0.2404	0.2093	0.1872	0.1545	0.2142	0.2131	0.1943	0.1710	0.2124	0.1791	0.1599	0.1778	0.1768	0.1737	0.1795
0.2953	0.2953	0.2953	0.2953	0.2953	0.2953	0.2953	0.2953	0.2953	0.2953	0.2953	0.2953	0.2953	0.2953	0.2953	0.2953	0.2953	0.2734	0.2792	0.2821	0.2578	0.2933	0.2943	0.2990	0.3002	0.2961	0.2984	0.2611	0.2912	0.1700	0.1768	0.2014	0.2020	0.2061	0.1964	0.2042	0.2154	0.1608	0.2116	0.1837	0.1776	0.1997
