,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
pSpring,0.22,0.21,0.45,0.45,0.58,0.59,0.63,0.54,0.47,0.54,0.43
pFall,0.78,0.79,0.55,0.55,0.42,0.41,0.37,0.46,0.53,0.46,0.57
