# nAgeSeries
4
# ageIndex
1 2 3 4
# minAge
2 2 2 5
# maxAge
12 11 11 11
# ageFirstYear
1 22 54 46
# ageLastYear
69 69 69 68

## Commercial fishery proportions at age (firstAge,plusGroupAge,1,nT).
# paaComFish
0.046592	0.044975	0.044693	0.038431	0.038439	0.038462	0.040332	0.040070	0.040018	0.040097	0.013161	0.019269	0.009496	0.006685	0.008973	0.017201	0.021142	0.025722	0.040525	0.022777	0.019236	0.023839	0.004043	0.006040	0.009977	0.010454	0.008609	0.006607	0.004379	0.003365	0.001599	0.003416	0.001891	0.001769	0.005617	0.007667	0.017255	0.013336	0.015284	0.013352	0.011348	0.015912	0.012899	0.019067	0.014542	0.008520	0.012981	0.014225	0.017653	0.033174	0.049229	0.038473	0.027143	0.076294	0.029294	0.015296	0.025312	0.034630	0.021861	0.044912	0.018897	0.018230	0.020889	0.073403	0.033125	0.022624	0.021809	0.017282	0.015909

## DFO survey proportions at age (firstAge,plusGroupAge,1,nT).
# paaRV
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.018976	0.072403	0.137639	0.078631	0.218195	0.137921	0.333293	0.068314	0.169594	0.039424	0.083596	0.177927	0.119856	0.071271	0.058902	0.109481	0.077942	0.064320	0.134212	0.053156	0.071953	0.089924	0.100817	0.033968	0.074166	0.034707	0.098062	0.108501	0.102511	0.051539	0.049085	0.037019	-1	0.174591	0.031577	0.076068	0.052819	0.060263	0.037647	0.149619	0.082554	0.126637	0.199787	0.101254	0.071271	0.049148	0.128446	0.077408
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.226989	0.157603	0.271724	0.321187	0.166982	0.537252	0.292434	0.402530	0.166090	0.241020	0.083646	0.107552	0.257935	0.104688	0.146920	0.156549	0.153029	0.236467	0.172032	0.284404	0.148513	0.188174	0.141869	0.144655	0.104089	0.113523	0.115711	0.164494	0.139543	0.144117	0.107212	0.062909	-1	0.198351	0.204108	0.076290	0.135916	0.119914	0.231087	0.161722	0.293842	0.193429	0.320350	0.423525	0.157312	0.172264	0.158559	0.335465
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.230191	0.361934	0.128600	0.244150	0.246052	0.138747	0.209339	0.300500	0.339193	0.178726	0.256237	0.127370	0.232550	0.232189	0.158468	0.163214	0.141193	0.218032	0.161409	0.211740	0.310720	0.264456	0.216789	0.172483	0.181791	0.197088	0.128890	0.153225	0.206723	0.195867	0.190335	0.201648	-1	0.180305	0.321592	0.169562	0.189892	0.080833	0.338781	0.156015	0.196725	0.405818	0.182086	0.247102	0.311334	0.231087	0.305652	0.198039
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.205591	0.137312	0.205370	0.104642	0.192761	0.104225	0.077930	0.145013	0.204295	0.313653	0.215687	0.147749	0.126502	0.307958	0.256598	0.164454	0.193880	0.173099	0.146360	0.155129	0.246497	0.234910	0.254574	0.184991	0.179570	0.173960	0.216488	0.121451	0.196502	0.208531	0.214424	0.275855	-1	0.144597	0.222143	0.340457	0.159053	0.183782	0.115143	0.248905	0.150543	0.080541	0.157739	0.109993	0.193621	0.188039	0.239750	0.147059
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.158476	0.115977	0.095823	0.125429	0.065461	0.047052	0.040628	0.040799	0.083332	0.154603	0.211943	0.235376	0.089931	0.109894	0.265393	0.196286	0.146384	0.121075	0.153654	0.109598	0.095142	0.126261	0.167208	0.228577	0.142398	0.153010	0.146915	0.157521	0.087734	0.172932	0.186145	0.189918	-1	0.084731	0.102282	0.197299	0.243340	0.101886	0.120769	0.057761	0.162466	0.078081	0.061369	0.074614	0.116180	0.152703	0.081075	0.110656
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.103733	0.079816	0.068197	0.046820	0.045940	0.012893	0.021057	0.023580	0.021575	0.055627	0.089377	0.122762	0.077512	0.061886	0.058853	0.141906	0.189735	0.065357	0.084344	0.075628	0.054633	0.049000	0.076437	0.147430	0.184651	0.116994	0.105288	0.101341	0.106041	0.070126	0.122013	0.119869	-1	0.087111	0.039422	0.082516	0.134726	0.230363	0.044229	0.081771	0.026713	0.076634	0.037500	0.012383	0.103317	0.085185	0.042622	0.062830
